Region,Supermarket,Waste,,,,,,,
East Midlands,Tesco,1488,,,,,,,
East of England,Tesco,3670,,,,,,,
London ,Tesco,6129,,,,,,,
North East,Tesco,757,,,,,,,
North West,Tesco,2938,,,,,,,
Northern Ireland,Tesco,681,,,,,,,
Scotland,Tesco,2711,,,,,,,
South East,Tesco,5423,,,,,,,
South West,Tesco,3506,,,,,,,
Wales,Tesco,1614,,,,,,,
West Midlands,Tesco,3329,,,,,,,
Yorkshire & Humber,Tesco,2787,,,,,,,
East Midlands,Asda,1321,,,,,,,
East of England,Asda,2122,,,,,,,
London ,Asda,2075,,,,,,,
North East,Asda,1745,,,,,,,
North West,Asda,4009,,,,,,,
Northern Ireland,Asda,755,,,,,,,
Scotland,Asda,2971,,,,,,,
South East,Asda,2736,,,,,,,
South West,Asda,1934,,,,,,,
Wales,Asda,1509,,,,,,,
West Midlands,Asda,4386,,,,,,,
Yorkshire & Humber,Asda,4198,,,,,,,
East Midlands,Sainsbury's,1700,,,,,,,
East of England,Sainsbury's,2507,,,,,,,
London ,Sainsbury's,8877,,,,,,,
North East,Sainsbury's,1672,,,,,,,
North West,Sainsbury's,1873,,,,,,,
Northern Ireland,Sainsbury's,346,,,,,,,
Scotland,Sainsbury's,2248,,,,,,,
South East,Sainsbury's,4842,,,,,,,
South West,Sainsbury's,2709,,,,,,,
Wales,Sainsbury's,980,,,,,,,
West Midlands,Sainsbury's,3487,,,,,,,
Yorkshire & Humber,Sainsbury's,3804,,,,,,,
East Midlands,Morrisons,676,,,,,,,
East of England,Morrisons,1234,,,,,,,
London ,Morrisons,823,,,,,,,
North East,Morrisons,646,,,,,,,
North West,Morrisons,1528,,,,,,,
Northern Ireland,Morrisons,147,,,,,,,
Scotland,Morrisons,1792,,,,,,,
South East,Morrisons,1351,,,,,,,
South West,Morrisons,1293,,,,,,,
Wales,Morrisons,881,,,,,,,
West Midlands,Morrisons,2056,,,,,,,
Yorkshire & Humber,Morrisons,1939,,,,,,,