Child pop,County,Region
5593,Bedfordshire,East
6286,Bedfordshire,East
15579,Bedfordshire,East
2745,Berkshire,South East
5226,Berkshire,South East
8883,Berkshire,South East
3112,Berkshire,South East
3006,Berkshire,South East
2941,Berkshire,South East
2475,Berkshire,South East
14425,Bristol,South West
15517,Buckinghamshire,South East
11480,Buckinghamshire,South East
11197,Cambridgeshire,East
2194,Cambridgeshire,East
1584,Cambridgeshire,East
3387,Cambridgeshire,East
3748,Cambridgeshire,East
2546,Cambridgeshire,East
7956,Cheshire,West Midlands
7868,Cheshire,West Midlands
3969,Cheshire,West Midlands
5138,Cheshire,West Midlands
16664,Cornwall,South West
26,Cornwall,South West
29293,County Durham,North East
6368,County Durham,North East
6121,County Durham,North East
11626,County Durham,North East
1489,County Durham,North East
2417,Cumbria,North West
1901,Cumbria,North West
2921,Cumbria,North West
1548,Cumbria,North West
1245,Cumbria,North West
1945,Cumbria,North West
11310,Derbyshire,West Midlands
2701,Derbyshire,West Midlands
2120,Derbyshire,West Midlands
2544,Derbyshire,West Midlands
1200,Derbyshire,West Midlands
2358,Derbyshire,West Midlands
1699,Derbyshire,West Midlands
2114,Derbyshire,West Midlands
2355,Derbyshire,West Midlands
7560,Devon,South West
3766,Devon,South West
3036,Devon,South West
2507,Devon,South West
2173,Devon,South West
2810,Devon,South West
1954,Devon,South West
2966,Devon,South West
2032,Devon,South West
1305,Devon,South West
8614,Dorset,South West
7323,Dorset,South West
9719,East Riding of Yorkshire,Yorkshire & Humber
17471,East Riding of Yorkshire,Yorkshire & Humber
6734,East Sussex,South East
3279,East Sussex,South East
3942,East Sussex,South East
2500,East Sussex,South East
2683,East Sussex,South East
4135,East Sussex,South East
5107,Essex,East
6339,Essex,East
6075,Essex,East
3740,Essex,East
1387,Essex,East
2164,Essex,East
3287,Essex,East
4607,Essex,East
3190,Essex,East
3280,Essex,East
1406,Essex,East
1691,Essex,East
3989,Essex,East
1709,Essex,East
5419,Gloucestershire,South West
2374,Gloucestershire,South West
1450,Gloucestershire,South West
2159,Gloucestershire,South West
3945,Gloucestershire,South West
2480,Gloucestershire,South West
1861,Gloucestershire,South West
7176,Greater London,London
66,Greater London,London
13035,Greater London,London
4383,Greater London,London
9769,Greater London,London
6785,Greater London,London
2134,Greater London,London
10481,Greater London,London
11240,Greater London,London
21060,Greater London,London
10810,Greater London,London
18439,Greater London,London
7201,Greater London,London
4476,Greater London,London
15232,Greater London,London
10942,Greater London,London
7738,Greater London,London
13960,Greater London,London
7645,Greater London,London
13771,Greater London,London
13422,Greater London,London
12589,Greater London,London
12757,Greater London,London
9494,Greater London,London
8811,Greater London,London
11478,Greater London,London
11159,Greater London,London
3344,Greater London,London
6623,Greater London,London
13365,Greater London,London
2747,Greater London,London
5416,Greater London,London
14067,Greater London,London
4082,Greater London,London
19476,Greater Manchester,North West
8218,Greater Manchester,North West
35751,Greater Manchester,North West
19706,Greater Manchester,North West
13715,Greater Manchester,North West
10810,Greater Manchester,North West
7912,Greater Manchester,North West
9806,Greater Manchester,North West
5911,Greater Manchester,North West
10586,Greater Manchester,North West
4699,Hampshire,South East
8137,Hampshire,South East
10101,Hampshire,South East
4108,Hampshire,South East
2596,Hampshire,South East
2963,Hampshire,South East
2135,Hampshire,South East
2789,Hampshire,South East
4290,Hampshire,South East
4063,Hampshire,South East
2412,Hampshire,South East
2601,Hampshire,South East
2369,Hampshire,South East
5264,Herefordshire,West Midlands
2641,Hertfordshire,East
3242,Hertfordshire,East
2274,Hertfordshire,East
2144,Hertfordshire,East
2556,Hertfordshire,East
2489,Hertfordshire,East
2524,Hertfordshire,East
1616,Hertfordshire,East
2580,Hertfordshire,East
2390,Hertfordshire,East
11443,Kent,South East
4609,Kent,South East
4445,Kent,South East
4156,Kent,South East
3903,Kent,South East
4714,Kent,South East
5214,Kent,South East
3158,Kent,South East
5668,Kent,South East
5892,Kent,South East
3418,Kent,South East
2794,Kent,South East
11898,Lancashire,North West
5879,Lancashire,North West
5696,Lancashire,North West
2742,Lancashire,North West
1561,Lancashire,North West
5131,Lancashire,North West
3517,Lancashire,North West
7314,Lancashire,North West
6631,Lancashire,North West
1087,Lancashire,North West
2800,Lancashire,North West
2663,Lancashire,North West
2898,Lancashire,North West
2741,Lancashire,North West
21056,Leicestershire,East Midlands
2116,Leicestershire,East Midlands
3736,Leicestershire,East Midlands
1568,Leicestershire,East Midlands
2245,Leicestershire,East Midlands
953,Leicestershire,East Midlands
2138,Leicestershire,East Midlands
1367,Leicestershire,East Midlands
8224,Lincolnshire,Yorkshire & Humber
7459,Lincolnshire,Yorkshire & Humber
2213,Lincolnshire,Yorkshire & Humber
3753,Lincolnshire,Yorkshire & Humber
2772,Lincolnshire,Yorkshire & Humber
2272,Lincolnshire,Yorkshire & Humber
2581,Lincolnshire,Yorkshire & Humber
3101,Lincolnshire,Yorkshire & Humber
2238,Lincolnshire,Yorkshire & Humber
5851,Merseyside,North West
19942,Merseyside,North West
7291,Merseyside,North West
5384,Merseyside,North West
8797,Merseyside,North West
3814,Norfolk,East
2625,Norfolk,East
3317,Norfolk,East
4521,Norfolk,East
2457,Norfolk,East
4956,Norfolk,East
2769,Norfolk,East
14029,North Yorkshire,Yorkshire & Humber
14941,North Yorkshire,Yorkshire & Humber
8413,North Yorkshire,Yorkshire & Humber
4250,North Yorkshire,Yorkshire & Humber
1305,North Yorkshire,Yorkshire & Humber
1759,North Yorkshire,Yorkshire & Humber
2690,North Yorkshire,Yorkshire & Humber
1095,North Yorkshire,Yorkshire & Humber
1397,North Yorkshire,Yorkshire & Humber
3925,North Yorkshire,Yorkshire & Humber
2346,North Yorkshire,Yorkshire & Humber
9256,Northamptonshire,East Midlands
10968,Northamptonshire,East Midlands
4888,Northern Ireland,Northern Ireland
4896,Northern Ireland,Northern Ireland
9917,Northern Ireland,Northern Ireland
13719,Northern Ireland,Northern Ireland
6101,Northern Ireland,Northern Ireland
6923,Northern Ireland,Northern Ireland
5454,Northern Ireland,Northern Ireland
4085,Northern Ireland,Northern Ireland
5007,Northern Ireland,Northern Ireland
7072,Northern Ireland,Northern Ireland
9564,Northern Ireland,Northern Ireland
14229,Nottinghamshire,East Midlands
3746,Nottinghamshire,East Midlands
3145,Nottinghamshire,East Midlands
2352,Nottinghamshire,East Midlands
2584,Nottinghamshire,East Midlands
3073,Nottinghamshire,East Midlands
2979,Nottinghamshire,East Midlands
1645,Nottinghamshire,East Midlands
3942,Oxfordshire,South East
3796,Oxfordshire,South East
2407,Oxfordshire,South East
2001,Oxfordshire,South East
562,Rutland,East Midlands
4541,Scotland,Scotland
4628,Scotland,Scotland
2866,Scotland,Scotland
1683,Scotland,Scotland
8755,Scotland,Scotland
1553,Scotland,Scotland
4051,Scotland,Scotland
4045,Scotland,Scotland
4023,Scotland,Scotland
1643,Scotland,Scotland
2394,Scotland,Scotland
1786,Scotland,Scotland
4392,Scotland,Scotland
10839,Scotland,Scotland
24300,Scotland,Scotland
5769,Scotland,Scotland
1633,Scotland,Scotland
2365,Scotland,Scotland
2482,Scotland,Scotland
517,Scotland,Scotland
4554,Scotland,Scotland
11423,Scotland,Scotland
484,Scotland,Scotland
3208,Scotland,Scotland
4314,Scotland,Scotland
2698,Scotland,Scotland
572,Scotland,Scotland
2748,Scotland,Scotland
8012,Scotland,Scotland
1903,Scotland,Scotland
2758,Scotland,Scotland
5358,Scotland,Scotland
8922,Shropshire,West Midlands
7505,Shropshire,West Midlands
2828,Somerset,South West
4332,Somerset,South West
2716,Somerset,South West
3108,Somerset,South West
3573,Somerset,South West
3752,Somerset,South West
11331,South Yorkshire,Yorkshire & Humber
16063,South Yorkshire,Yorkshire & Humber
13817,South Yorkshire,Yorkshire & Humber
29467,South Yorkshire,Yorkshire & Humber
17053,Staffordshire,West Midlands
3765,Staffordshire,West Midlands
5372,Staffordshire,West Midlands
2403,Staffordshire,West Midlands
3823,Staffordshire,West Midlands
2581,Staffordshire,West Midlands
3279,Staffordshire,West Midlands
2359,Staffordshire,West Midlands
2680,Staffordshire,West Midlands
2116,Suffolk,East
5914,Suffolk,East
5910,Suffolk,East
2041,Suffolk,East
3611,Suffolk,East
2006,Surrey,South East
1241,Surrey,South East
2220,Surrey,South East
1452,Surrey,South East
3257,Surrey,South East
1786,Surrey,South East
2247,Surrey,South East
1633,Surrey,South East
1777,Surrey,South East
2091,Surrey,South East
2662,Surrey,South East
11156,Tyne and Wear,North East
19279,Tyne and Wear,North East
10159,Tyne and Wear,North East
9450,Tyne and Wear,North East
16851,Tyne and Wear,North East
2902,Wales,Wales
4893,Wales,Wales
4448,Wales,Wales
3958,Wales,Wales
5086,Wales,Wales
5344,Wales,Wales
4899,Wales,Wales
2675,Wales,Wales
5477,Wales,Wales
7948,Wales,Wales
8345,Wales,Wales
5380,Wales,Wales
5191,Wales,Wales
4044,Wales,Wales
15132,Wales,Wales
11222,Wales,Wales
2896,Wales,Wales
7631,Wales,Wales
3252,Wales,Wales
3758,Wales,Wales
2285,Wales,Wales
7802,Wales,Wales
1962,Warwickshire,West Midlands
4473,Warwickshire,West Midlands
2351,Warwickshire,West Midlands
2501,Warwickshire,West Midlands
2551,Warwickshire,West Midlands
95447,West Midlands,West Midlands
16631,West Midlands,West Midlands
15475,West Midlands,West Midlands
24748,West Midlands,West Midlands
5660,West Midlands,West Midlands
19049,West Midlands,West Midlands
16297,West Midlands,West Midlands
2053,West Sussex,South East
4468,West Sussex,South East
2855,West Sussex,South East
5139,West Sussex,South East
2851,West Sussex,South East
2777,West Sussex,South East
3054,West Sussex,South East
52778,West Yorkshire,Yorkshire & Humber
10470,West Yorkshire,Yorkshire & Humber
26731,West Yorkshire,Yorkshire & Humber
39016,West Yorkshire,Yorkshire & Humber
14831,West Yorkshire,Yorkshire & Humber
5828,Wiltshire,South West
9152,Wiltshire,South West
1963,Worcestershire,West Midlands
1733,Worcestershire,West Midlands
3204,Worcestershire,West Midlands
3602,Worcestershire,West Midlands
3076,Worcestershire,West Midlands
3378,Worcestershire,West Midlands
