Region,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16
East,66840,69408,73085,75231,77973,77425,78279,79895,81579,80625,79819,78599,78781,75495,73852,71072,70566
East Midlands,48182,50318,52889,54963,57282,57430,57612,58977,61102,60264,58932,58006,59155,57127,56357,53722,53624
London,115245,116979,119607,121178,122790,120988,120075,122677,125200,117393,114196,111526,111947,108425,104659,100322,97634
North East,25311,26882,27877,28895,29813,29512,30386,31170,32135,32174,31686,30906,31329,30258,30424,28652,28362
North West,78513,82043,84077,87364,89807,89619,90532,91422,94123,92572,90601,89737,90742,88109,87056,83873,81788
Northern Ireland,21948,22844,23523,24288,25133,24957,25015,25415,26348,26139,25841,26161,26217,24962,23836,23189,22918
Scotland,48635,51062,52945,54449,56715,57581,57938,59171,60666,62547,59638,61301,61018,58637,57487,56993,55890
South East,93502,97970,102746,106525,110846,111754,112354,115259,119819,119748,118394,116208,117297,114345,111338,106310,105544
South West,51726,54442,57236,59090,62038,62248,63574,65054,67986,67038,66024,64802,65942,63958,62621,60455,59674
Wales,29401,30837,32660,33568,34875,35017,35386,36174,37438,38163,37514,36952,37676,36328,35967,34774,33862
West Midlands,65016,67572,70187,72616,73866,73507,75070,76960,78156,76524,74680,74840,75579,73145,72287,70581,69045
Yorkshire & The Humber,57578,59862,62522,65154,66401,66707,66852,68526,70448,68708,68755,68249,68049,65911,65431,62769,61786